power,Day,Time_of_Day,Location,Date
-104.202,5,3,0,05/18/24
-104.411,5,0,0,05/18/24
-97.401,5,1,0,05/18/24
-104.278,5,2,0,05/18/24
-104.434,6,0,0,05/19/24
-104.548,6,1,0,05/19/24
-104.41,6,2,0,05/19/24
-98.454,0,3,0,05/20/24
-97.687,0,0,0,05/20/24
-104.058,0,2,0,05/20/24
-103.974,1,3,0,05/21/24
-103.122,1,0,0,05/21/24
-101.723,1,1,0,05/21/24
-104.054,1,2,0,05/21/24
-103.727,2,0,0,05/22/24
-103.686,2,1,0,05/22/24
-104.125,2,2,0,05/22/24
-103.884,3,3,0,05/23/24
-103.568,3,0,0,05/23/24
-101.507,3,1,0,05/23/24
-103.718,4,3,0,05/24/24
-102.292,4,0,0,05/24/24
-103.523,4,1,0,05/24/24
-102.212,4,2,0,05/24/24
-103.662,5,3,0,05/25/24
-103.771,5,1,0,05/25/24
-103.652,5,2,0,05/25/24
-103.693,6,3,0,05/26/24
-100.611,6,0,0,05/26/24
-103.558,6,1,0,05/26/24
-103.288,0,3,0,05/27/24
-102.302,0,0,0,05/27/24
-100.849,0,1,0,05/27/24
-100.288,0,2,0,05/27/24
-102.878,1,3,0,05/28/24
-102.165,1,1,0,05/28/24
-102.934,1,2,0,05/28/24
-102.221,2,3,0,05/29/24
-102.418,2,0,0,05/29/24
-103.085,2,1,0,05/29/24
-102.369,3,3,0,05/30/24
-101.345,3,0,0,05/30/24
-102.365,3,1,0,05/30/24
-101.936,3,2,0,05/30/24
-102.353,4,3,0,05/31/24
-101.697,4,0,0,05/31/24
-102.622,4,2,0,05/31/24
-101.768,5,3,0,06/01/24
-102.322,5,0,0,06/01/24
-102.297,5,1,0,06/01/24
-102.06,5,2,0,06/01/24
-101.877,6,3,0,06/02/24
-102.166,6,1,0,06/02/24
-100.799,6,2,0,06/02/24
-102.086,0,3,0,06/03/24
-102.174,0,0,0,06/03/24
-102.476,0,1,0,06/03/24
-102.037,1,3,0,06/04/24
-101.834,1,0,0,06/04/24
-97.098,1,1,0,06/04/24
-97.719,1,2,0,06/04/24
-101.526,2,3,0,06/05/24
-102.7,2,1,0,06/05/24
-102.102,2,2,0,06/05/24
-102.424,3,3,0,06/06/24
-101.739,3,0,0,06/06/24
-94.039,3,1,0,06/06/24
-102.362,4,3,0,06/07/24
-101.692,4,0,0,06/07/24
-93.191,4,1,0,06/07/24
-96.815,4,2,0,06/07/24
-102.028,5,3,0,06/08/24
-101.968,5,1,0,06/08/24
-102.373,5,2,0,06/08/24
-101.922,6,3,0,06/09/24
-102.216,6,0,0,06/09/24
-102.165,6,1,0,06/09/24
-102.402,6,2,0,06/09/24
-100.794,0,0,0,06/10/24
-101.83,0,1,0,06/10/24
-100.884,0,2,0,06/10/24
-93.054,1,3,0,06/11/24
-93.344,1,0,0,06/11/24
-98.446,1,2,0,06/11/24
-102.342,2,3,0,06/12/24
-98.781,2,1,0,06/12/24
-100.022,2,2,0,06/12/24
-93.957,3,0,0,06/13/24
-100.197,3,1,0,06/13/24
-102.119,3,2,0,06/13/24
-99.84,4,3,0,06/14/24
-101.652,4,0,0,06/14/24
-82.755,4,2,0,06/14/24
-102.374,5,3,0,06/15/24
-98.407,5,0,0,06/15/24
-101.068,5,1,0,06/15/24
-101.85,5,2,0,06/15/24
-100.544,6,0,0,06/16/24
-102.532,6,1,0,06/16/24
-101.155,6,2,0,06/16/24
-101.33,0,3,0,06/17/24
-101.383,0,0,0,06/17/24
-101.128,0,1,0,06/17/24
-101.251,1,3,0,06/18/24
-99.338,1,0,0,06/18/24
-101.972,1,1,0,06/18/24
-99.615,1,2,0,06/18/24
-101.16,2,3,0,06/19/24
-96.477,2,1,0,06/19/24
-101.135,2,2,0,06/19/24
-100.906,3,3,0,06/20/24
-99.534,3,0,0,06/20/24
-101.785,3,1,0,06/20/24
-101.443,4,3,0,06/21/24
-101.738,4,0,0,06/21/24
-96.001,4,1,0,06/21/24
-102.101,4,2,0,06/21/24
-101.751,5,3,0,06/22/24
-100.379,5,1,0,06/22/24
-102.261,5,2,0,06/22/24
-100.582,6,3,0,06/23/24
-102.568,6,0,0,06/23/24
-101.015,6,1,0,06/23/24
-101.995,0,3,0,06/24/24
-102.115,0,0,0,06/24/24
-100.383,0,1,0,06/24/24
-99.297,0,2,0,06/24/24
-102.32,1,3,0,06/25/24
-101.838,1,1,0,06/25/24
-101.502,1,2,0,06/25/24
-101.354,2,3,0,06/26/24
-99.196,2,0,0,06/26/24
-100.943,2,1,0,06/26/24
-101.879,3,3,0,06/27/24
-99.818,3,0,0,06/27/24
-100.724,3,1,0,06/27/24
-102.297,3,2,0,06/27/24
-102.159,4,3,0,06/28/24
-102.246,4,0,0,06/28/24
-100.407,4,2,0,06/28/24
-100.557,5,3,0,06/29/24
-100.417,5,0,0,06/29/24
-101.82,5,1,0,06/29/24
-101.241,5,2,0,06/29/24
-101.844,6,0,0,06/30/24
-102.906,6,1,0,06/30/24
-100.317,6,2,0,06/30/24
-100.324,0,3,0,07/01/24
-99.619,0,1,0,07/01/24
-102.472,0,2,0,07/01/24
